китап	k i t a p
өй	ø j
ата	ɑ t ɑ
ана	ɑ n ɑ
су	s u
ут	u t
ул	u l
ул	u l
бу	b u
без	b e z
сез	s e z
алар	ɑ l ɑ r
мин	m i n
синең	s i n e ŋ
аның	ɑ n ɨ ŋ
бездән	b e z d æ n
кеше	k e ʃ e
бала	b ɑ l ɑ
ир	i r
хатын	x ɑ t ɨ n
кыз	q ɨ z
малай	m ɑ l ɑ j
карт	q ɑ r t
яшь	j æ ʃ
дус	d u s
дошман	d u ʃ m ɑ n
өй	ø j
йорт	j o r t
бина	b i n ɑ
капка	q ɑ p q ɑ
тәрәзә	t æ r æ z æ
ишек	i ʃ e k
урам	u r ɑ m
авыл	ɑ w ɨ l
шәһәр	ʃ æ h æ r
илне	i l n e
ил	i l
ватан	w ɑ t ɑ n
мәктәп	m æ k t æ p
дәрес	d æ r e s
укытучы	u q ɨ t u tʃ ɨ
укучы	u q u tʃ ɨ
уку	u q u
язу	j ɑ z u
уку	u q u
укый	u q ɨ j
яза	j ɑ z ɑ
ала	ɑ l ɑ
бирә	b i r æ
кайта	q ɑ j t ɑ
килә	k i l æ
китә	k i t æ
бара	b ɑ r ɑ
тора	t o r ɑ
йоклый	j o q l ɨ j
ашый	ɑ ʃ ɨ j
эчә	e tʃ æ
йөри	j ø r i
сөйли	s ø j l i
тыңлый	t ɨ ŋ l ɨ j
карый	q ɑ r ɨ j
яратам	j ɑ r ɑ t ɑ m
беләм	b e l æ m
аңлыйм	ɑ ŋ l ɨ j m
кил	k i l
кит	k i t
бар	b ɑ r
тор	t o r
аш	ɑ ʃ
эч	e tʃ
яз	j ɑ z
ал	ɑ l
бир	b i r
кара	q ɑ r ɑ
тыңла	t ɨ ŋ l ɑ
су	s u
ипи	i p i
ит	i t
балык	b ɑ l ɨ q
йомырка	j o m ɨ r q ɑ
сөт	s ø t
май	m ɑ j
икмәк	i k m æ k
чәй	tʃ æ j
кофе	k o f e
шикәр	ʃ i k æ r
тоз	t o z
тәмле	t æ m l e
ачы	ɑ tʃ ɨ
татлы	t ɑ t l ɨ
туры	t u r ɨ
зур	z u r
кечкенә	k e tʃ k e n æ
яхшы	j ɑ x ʃ ɨ
начар	n ɑ tʃ ɑ r
матур	m ɑ t u r
куркыныч	q u r q ɨ n ɨ tʃ
кызыл	q ɨ z ɨ l
яшел	j æ ʃ e l
зәңгәр	z æ ŋ g æ r
сары	s ɑ r ɨ
зәңгәр	z æ ŋ g æ r
кара	q ɑ r ɑ
ак	ɑ q
кара	q ɑ r ɑ
бер	b e r
ике	i k e
өч	ø tʃ
дүрт	d ø r t
биш	b i ʃ
алты	ɑ l t ɨ
җиде	dʒ i d e
сигез	s i g e z
тугыз	t u ɣ ɨ z
ун	u n
унбер	u n b e r
унике	u n i k e
егерме	j e g e r m e
утыз	u t ɨ z
кырык	q ɨ r ɨ q
илле	i l l e
алтмыш	ɑ l t m ɨ ʃ
җитмеш	dʒ i t m e ʃ
сиксән	s i k s æ n
туксан	t u q s ɑ n
йөз	j ø z
мең	m e ŋ
бүген	b ø g e n
иртәгә	i r t æ g æ
кичә	k i tʃ æ
хәзер	x æ z e r
гел	g e l
беркайчан	b e r q ɑ j tʃ ɑ n
һәрвакыт	h æ r w ɑ q ɨ t
ашыгыч	ɑ ʃ ɨ ɣ ɨ tʃ
бик	b i k
бигрәк	b i g r æ k
бераз	b e r ɑ z
шактый	ʃ ɑ q t ɨ j
бик күп	b i k k ø p
аз	ɑ z
туры	t u r ɨ
нигә	n i g æ
кайда	q ɑ j d ɑ
кайчан	q ɑ j tʃ ɑ n
ничек	n i tʃ e k
кем	k e m
нәрсә	n æ r s æ
кайсы	q ɑ j s ɨ
ничә	n i tʃ æ
да	d ɑ
дә	d æ
да	d ɑ
та	t ɑ
тә	t æ
ла	l ɑ
лә	l æ
юк	j u q
бар	b ɑ r
өчен	ø tʃ e n
белән	b e l æ n
турында	t u r ɨ n d ɑ
алдында	ɑ l d ɨ n d ɑ
артында	ɑ r t ɨ n d ɑ
янында	j ɑ n ɨ n d ɑ
эчендә	e tʃ e n d æ
өстендә	ø s t e n d æ
астында	ɑ s t ɨ n d ɑ
ягыннан	j ɑ ɣ ɨ n n ɑ n
кебек	k e b e k
шикелле	ʃ i k e l l e
кадәр	q ɑ d æ r
гаилә	ɡ ɑ i l æ
ир-ат	i r ɑ t
апа	ɑ p ɑ
абый	ɑ b ɨ j
сеңел	s e ŋ e l
эне	e n e
дәү	d æ w
картәни	q ɑ r t æ n i
бабай	b ɑ b ɑ j
нәнәй	n æ n æ j
туган	t u ɣ ɑ n
кода	q o d ɑ
кодагый	q o d ɑ ɣ ɨ j
дус	d u s
күрше	k ø r ʃ e
тән	t æ n
баш	b ɑ ʃ
йөз	j ø z
күз	k ø z
борын	b o r ɨ n
авыз	ɑ w ɨ z
тел	t e l
теш	t e ʃ
колак	q o l ɑ q
мойын	m o j ɨ n
иң	i ŋ
кул	q u l
