abdi	a b d i
acan	a tʃ a n
acara	a tʃ a r a
adeg	a d ə ɡ
ageung	a ɡ ɯ ŋ
agul	a ɡ u l
aheng	a h ə ŋ
ahli	a h l i
aing	a i ŋ
ajar	a dʒ a r
ajeg	a dʒ ə ɡ
aki	a k i
alam	a l a m
alus	a l u s
amis	a m i s
ampir	a m p i r
anaking	a n a k i ŋ
anggur	a ŋ ɡ u r
angkat	a ŋ k a t
angin	a ŋ i n
anteur	a n t ɯ r
anyar	a ɲ a r
apal	a p a l
ari	a r i
artos	a r t o s
asih	a s i h
asup	a s u p
atah	a t a h
atawa	a t a w a
aya	a j a
ayeuna	a j ɯ n a
babagi	b a b a ɡ i
badag	b a d a ɡ
badami	b a d a m i
baju	b a dʒ u
balik	b a l i k
banget	b a ŋ ə t
bangsa	b a ŋ s a
barudak	b a r u d a k
basa	b a s a
batik	b a t i k
batu	b a t u
bebeja	b ə b ə dʒ a
bekel	b ə k ə l
bener	b ə n ə r
beunang	b ɯ n a ŋ
beunghar	b ɯ ŋ h a r
beungeut	b ɯ ŋ ɯ t
bihari	b i h a r i
bijil	b i dʒ i l
bisa	b i s a
bogoh	b o ɡ o h
bogor	b o ɡ o r
bola	b o l a
boyot	b o j o t
bubur	b u b u r
budak	b u d a k
buku	b u k u
bulan	b u l a n
bumi	b u m i
buyut	b u j u t
caang	tʃ a a ŋ
cai	tʃ a i
calana	tʃ a l a n a
campur	tʃ a m p u r
capek	tʃ a p ə k
carita	tʃ a r i t a
cekel	tʃ ə k ə l
celuk	tʃ ə l u k
cepil	tʃ ə p i l
ceuk	tʃ ɯ k
ceurik	tʃ ɯ r i k
cigul	tʃ i ɡ u l
cikur	tʃ i k u r
cinta	tʃ i n t a
cobi	tʃ o b i
cocog	tʃ o tʃ o ɡ
datang	d a t a ŋ
daun	d a u n
dayeuh	d a j ɯ h
deet	d ɯ t
desa	d ə s a
deuheus	d ɯ h ɯ s
deui	d ɯ i
didieu	d i d i ɯ
dinya	d i ɲ a
diri	d i r i
dongeng	d o ŋ ə ŋ
dua	d u a
dugi	d u ɡ i
duit	d u i t
dunya	d u ɲ a
enya	ə ɲ a
eta	ə t a
euih	ɯ i h
