aaba	æː b æ
aabbeheen	æː b b e h eː n
aabe	æː b e
aabeey	æː b eː j
aabo	æː b ɔ
aad	æː d
aadaan	æː d æː n
aadam	æː d æ m
aadan	æː d æ n
aadanaha	æː d æ n æ h æ
aadannimada	æː d æ n n i m æ d æ
aadantinimo	æː d æ n t i n i m ɔ
aaden	æː d e n
aafda	æː f d æ
aag	æː ɡ
aagga	æː ɡ ɡ æ
aagha	æː ɡ h æ
aajen	æː d͡ʒ e n
aakharo	æː χ æ r ɔ
aakhiro	æː χ i r ɔ
aal	æː l
aala	æː l æ
aalda	æː l d æ
aale	æː l e
aalisha	æː l i ʃ æ
aaliyah	æː l i j æ h
aallo	æː l l ɔ
aalokuyaal	æː l ɔ k u j æː l
aamiin	æː m iː n
aamin	æː m i n
aamina	æː m i n æ
aaminaad	æː m i n æː d
aan	æː n
aanaaneh	æː n æː n e h
aandoroo	æː n d ɔ r ɔː
aanka	æː n k æ
aanta	æː n t æ
aapke	æː k e
aaqiru	æː q i r u
aar	æː r
aarak	æː r æ k
aaran	æː r æ n
aarbergen	æː r b e r ɡ e n
aardam	æː r d æ m
aargon	æː r ɡ ɔ n
aariana	æː r i æ n æ
aaron	æː r ɔ n
aaroow	æː r ɔː w
aarsame	æː r s æ m e
aarsenik	æː r s e n i k
aarsleff	æː r s l e f f
aas	æː s
aasaasayaasha	æː s æː s æ j æː ʃ æ
aasaasiga	æː s æː s i ɡ æ
aasaasiyga	æː s æː s i j ɡ æ
aasaaska	æː s æː s k æ
aasb	æː s b
aasiya	æː s i j æ
aasiyaan	æː s i j æː n
aasiyada	æː s i j æ d æ
aasiyatik	æː s i j æ t i k
aaskii	æː s k iː
aavik	æː i k
aayad	æː j æ d
aayah	æː j æ h
aayatu	æː j æ t u
aaydhiin	æː j ɖ iː n
aayo	æː j ɔ
aayron	æː j r ɔ n
ab	æ b
abaadir	æ b æː d i r
abaajabal	æ b æː d͡ʒ æ b æ l
abaajibil	æ b æː d͡ʒ i b i l
abaaley	æ b æː l e j
abaalmarin	æ b æː l m æ r i n
abaalmarinta	æ b æː l m æ r i n t æ
abaar	æ b æː r
abaareey	æ b æː r eː j
abaarey	æ b æː r e j
abaarso	æ b æː r s ɔ
abaartii	æ b æː r t iː
abaayo	æ b æː j ɔ
ababa	æ b æ b æ
abacha	æ b æ ʕ h æ
abaga	æ b æ ɡ æ
abakar	æ b æ k æ r
abala	æ b æ l æ
abalayn	æ b æ l æ j n
aban	æ b æ n
abani	æ b æ n i
abas	æ b æ s
abasguul	æ b æ s ɡ uː l
abay	æ b æ j
abaya	æ b æ j æ
abayomi	æ b æ j ɔ m i
abba	æ b b æ
abbal	æ b b æ l
abbasi	æ b b æ s i
abbe	æ b b e
abbood	æ b b ɔː d
abd	æ b d
abdal	æ b d æ l
abdalle	æ b d æ l l e
abdel	æ b d e l
abdi	æ b d i
abdirahman	æ b d i r æ h m æ n
abdirashid	æ b d i r æ ʃ i d
abdirashiid	æ b d i r æ ʃ iː d
abdirazak	æ b d i r æ æ k
abdisalam	æ b d i s æ l æ m
abdisalan	æ b d i s æ l æ n
abdoulaye	æ b d ɔ u l æ j e
abdoulkader	æ b d ɔ u l k æ d e r
abdulah	æ b d u l æ h
abdulahi	æ b d u l æ h i
abdulaziz	æ b d u l æ i
abdulhamiid	æ b d u l h æ m iː d
abdulkadir	æ b d u l k æ d i r
abdulla	æ b d u l l æ
abdullah	æ b d u l l æ h
abdullahi	æ b d u l l æ h i
abdulra	æ b d u l r æ
abdulrahman	æ b d u l r æ h m æ n
abe	æ b e
abeba	æ b e b æ
abella	æ b e l l æ
abels	æ b e l s
abengoa	æ b e n ɡ ɔ æ
abeno	æ b e n ɔ
abensberg	æ b e n s b e r ɡ
abera	æ b e r æ
abgaal	æ b ɡ æː l
abi	æ b i
abibakr	æ b i b æ k r
abidjan	æ b i d d͡ʒ æ n
abigail	æ b i ɡ æ i l
abii	æ b iː
abiibakar	æ b iː b æ k æ r
abiikar	æ b iː k æ r
abijatta	æ b i d͡ʒ æ t t æ
abiodun	æ b i ɔ d u n
abiola	æ b i ɔ l æ
abke	æ b k e
abkhazia	æ b χ æ i æ
abkoow	æ b k ɔː w
abkow	æ b k ɔ w
aboah	æ b ɔ æ h
abokor	æ b ɔ k ɔ r
abooreey	æ b ɔː r eː j
aboowe	æ b ɔː w e
aborepi	æ b ɔ r e i
abow	æ b ɔ w
abraham	æ b r æ h æ m
abrahams	æ b r æ h æ m s
abri	æ b r i
abrie	æ b r i e
abriil	æ b r iː l
abron	æ b r ɔ n
abs	æ b s
absame	æ b s æ m e
abshir	æ b ʃ i r
abti	æ b t i
abtiriska	æ b t i r i s k æ
abtirsiga	æ b t i r s i ɡ æ
abtoow	æ b t ɔː w
abtooyo	æ b t ɔː j ɔ
abu	æ b u
abubakar	æ b u b æ k æ r
abubashir	æ b u b æ ʃ i r
abubeker	æ b u b e k e r
abuja	æ b u d͡ʒ æ
abukar	æ b u k æ r
abuu	æ b uː
abuubakar	æ b uː b æ k æ r
abuubar	æ b uː b æ r
abuukar	æ b uː k æ r
abuur	æ b uː r
abuurka	æ b uː r k æ
abwaan	æ b w æː n
abwaanada	æ b w æː n æ d æ
abwan	æ b w æ n
aby	æ b j
abyoone	æ b j ɔː n e
ac	æ ʕ
accra	æ ʕ ʕ r æ
ace	æ ʕ e
acerdoune	æ ʕ e r d ɔ u n e
achieng	æ ʕ h i e n ɡ
achok	æ ʕ h ɔ k
acholonu	æ ʕ h ɔ l ɔ n u
achterwehr	æ ʕ h t e r w e h r
achtrup	æ ʕ h t r u
act	æ ʕ t
acuminata	æ ʕ u m i n æ t æ
aczino	æ ʕ i n ɔ
ad	æ d
