aa	a a
aalborg	a a l b̤ o r ɡ̤
aalburg	a a l b̤ u r ɡ̤
aalsmeer	a a l s m e e r
aalst	a a l s t
aalten	a a l t e n
aamir	a a m i r
aamras	a a m r a s
aan	a a n
aardvark	a a r d̪̤ v a r k
aargau	a a r ɡ̤ a u
aaron	a a r o n
aart	a a r t
aash	a a s h
aavakaaya	a a v a k a a j a
ab	a b̤
abab	a b̤ a b̤
ababa	a b̤ a b̤ a
ababi	a b̤ a b̤ i
abad	a b̤ a d̪̤
abadi	a b̤ a d̪̤ i
abah	a b̤ a h
abahcow	a b̤ a h t͡ʃ o w
abalon	a b̤ a l o n
abang	a b̤ a ŋ
abangsongan	a b̤ a ŋ s o ŋ a n
abas	a b̤ a s
abaswa	a b̤ a s w a
abba	a b̤ b̤ a
abbad	a b̤ b̤ a d̪̤
abbas	a b̤ b̤ a s
abbasiyah	a b̤ b̤ a s i j a h
abbateggio	a b̤ b̤ a t e ɡ̤ ɡ̤ i o
abbaye	a b̤ b̤ a j e
abbedisso	a b̤ b̤ e d̪̤ i s s o
abbey	a b̤ b̤ e j
abbot	a b̤ b̤ o t
abbottabad	a b̤ b̤ o t t a b̤ a d̪̤
abcoude	a b̤ t͡ʃ o u d̪̤ e
abd	a b̤ d̪̤
abdee	a b̤ d̪̤ e e
abdelaziz	a b̤ d̪̤ e l a z i z
abdellatif	a b̤ d̪̤ e l l a t i f
abdelmadjid	a b̤ d̪̤ e l m a d̪̤ d͡ʒ̤ i d̪̤
abdi	a b̤ d̪̤ i
abdoel	a b̤ d̪̤ o e l
abdoessoeki	a b̤ d̪̤ o e s s o e k i
abdol	a b̤ d̪̤ o l
abdomen	a b̤ d̪̤ o m e n
abdoulaye	a b̤ d̪̤ o u l a j e
abdrabbuh	a b̤ d̪̤ r a b̤ b̤ u h
abduction	a b̤ d̪̤ u t͡ʃ t i o n
abdul	a b̤ d̪̤ u l
abdulkadir	a b̤ d̪̤ u l k a d̪̤ i r
abdullah	a b̤ d̪̤ u l l a h
abdulmohsen	a b̤ d̪̤ u l m o h s e n
abdulrahman	a b̤ d̪̤ u l r a h m a n
abdurahim	a b̤ d̪̤ u r a h i m
abdurahman	a b̤ d̪̤ u r a h m a n
abdurrahman	a b̤ d̪̤ u r r a h m a n
abel	a b̤ e l
abeli	a b̤ e l i
abelisaurus	a b̤ e l i s a u r u s
abelv	a b̤ e l v
aben	a b̤ e n
abenaho	a b̤ e n a h o
abengourou	a b̤ e ŋ o u r o u
abeno	a b̤ e n o
abepura	a b̤ e p u r a
aberle	a b̤ e r l e
abetti	a b̤ e t t i
abgoosht	a b̤ ɡ̤ o o s h t
abhik	a b̤ h i k
abhishek	a b̤ h i s h e k
abhisit	a b̤ h i s i t
abi	a b̤ i
abian	a b̤ i a n
abianbase	a b̤ i a n b̤ a s e
abiansemal	a b̤ i a n s e m a l
abid	a b̤ i d̪̤
abidjan	a b̤ i d̪̤ d͡ʒ̤ a n
abimana	a b̤ i m a n a
abimanyu	a b̤ i m a ɲ u
abiogenesis	a b̤ i o ɡ̤ e n e s i s
abiotik	a b̤ i o t i k
abir	a b̤ i r
abirau	a b̤ i r a u
abiy	a b̤ i j
abiyasa	a b̤ i j a s a
abjad	a b̤ d͡ʒ̤ a d̪̤
abkhazia	a b̤ k h a z i a
abner	a b̤ n e r
aboisso	a b̤ o i s s o
abol	a b̤ o l
abolhassan	a b̤ o l h a s s a n
abolqasem	a b̤ o l q a s e m
abon	a b̤ o n
aborigin	a b̤ o r i ɡ̤ i n
aborsi	a b̤ o r s i
abortus	a b̤ o r t u s
about	a b̤ o u t
abracadabrella	a b̤ r a t͡ʃ a d̪̤ a b̤ r e l l a
abraham	a b̤ r a h a m
abreu	a b̤ r e u
abriola	a b̤ r i o l a
abrit	a b̤ r i t
abruzzo	a b̤ r u z z o
abs	a b̤ s
absinthe	a b̤ s i n ʈ e
absisat	a b̤ s i s a t
abstract	a b̤ s t r a t͡ʃ t
abstrak	a b̤ s t r a k
absurdisme	a b̤ s u r d̪̤ i s m e
abu	a b̤ u
abuan	a b̤ u a n
abubakar	a b̤ u b̤ a k a r
abugida	a b̤ u ɡ̤ i d̪̤ a
abuja	a b̤ u d͡ʒ̤ a
abuki	a b̤ u k i
abul	a b̤ u l
abumbun	a b̤ u m b̤ u n
abun	a b̤ u n
abung	a b̤ u ŋ
aburage	a b̤ u r a ɡ̤ e
aburing	a b̤ u r i ŋ
aburizal	a b̤ u r i z a l
abyasa	a b̤ j a s a
ac	a t͡ʃ
acacia	a t͡ʃ a t͡ʃ i a
acad	a t͡ʃ a d̪̤
acar	a t͡ʃ a r
acara	a t͡ʃ a r a
accelerated	a t͡ʃ t͡ʃ e l e r a t e d̪̤
accettura	a t͡ʃ t͡ʃ e t t u r a
acchedya	a t͡ʃ t͡ʃ h e d̪̤ j a
acciano	a t͡ʃ t͡ʃ i a n o
accipitridae	a t͡ʃ t͡ʃ i p i t r i d̪̤ a e
accor	a t͡ʃ t͡ʃ o r
accra	a t͡ʃ t͡ʃ r a
ace	a t͡ʃ e
aceh	a t͡ʃ e h
acehkini	a t͡ʃ e h k i n i
acep	a t͡ʃ e p
acer	a t͡ʃ e r
acerenza	a t͡ʃ e r e n z a
acerno	a t͡ʃ e r n o
acerra	a t͡ʃ e r r a
acetonemi	a t͡ʃ e t o n e m i
acf	a t͡ʃ f
acha	a t͡ʃ h a
achantopholis	a t͡ʃ h a n t o p h o l i s
achappam	a t͡ʃ h a p p a m
acharei	a t͡ʃ h a r e i
achariaceae	a t͡ʃ h a r i a t͡ʃ e a e
achdiat	a t͡ʃ h d̪̤ i a t
achebe	a t͡ʃ h e b̤ e
achiel	a t͡ʃ h i e l
achille	a t͡ʃ h i l l e
achmad	a t͡ʃ h m a d̪̤
achtkarspelen	a t͡ʃ h t k a r s p e l e n
acil	a t͡ʃ i l
acisoma	a t͡ʃ i s o m a
ackee	a t͡ʃ k e e
acomi	a t͡ʃ o m i
aconcagua	a t͡ʃ o n t͡ʃ a ɡ̤ u a
acorn	a t͡ʃ o r n
acoustic	a t͡ʃ o u s t i t͡ʃ
acqua	a t͡ʃ q u a
acquacotta	a t͡ʃ q u a t͡ʃ o t t a
acquaformosa	a t͡ʃ q u a f o r m o s a
acquaro	a t͡ʃ q u a r o
acragas	a t͡ʃ r a ɡ̤ a s
acrasiomycota	a t͡ʃ r a s i o m j t͡ʃ o t a
acridotheres	a t͡ʃ r i d̪̤ o ʈ e r e s
acrocanthosaurus	a t͡ʃ r o t͡ʃ a n ʈ o s a u r u s
acromion	a t͡ʃ r o m i o n
acropolis	a t͡ʃ r o p o l i s
actinide	a t͡ʃ t i n i d̪̤ e
actinopterygii	a t͡ʃ t i n o p t e r j ɡ̤ i i
active	a t͡ʃ t i v e
acutis	a t͡ʃ u t i s
ad	a d̪̤
ada	a d̪̤ a
adachi	a d̪̤ a t͡ʃ h i
adam	a d̪̤ a m
adama	a d̪̤ a m a
adammakna	a d̪̤ a m m a k n a
adams	a d̪̤ a m s
adan	a d̪̤ a n
adana	a d̪̤ a n a
adang	a d̪̤ a ŋ
adaptasi	a d̪̤ a p t a s i
adas	a d̪̤ a s
adasaurus	a d̪̤ a s a u r u s
adat	a d̪̤ a t
adaway	a d̪̤ a w a j
adb	a d̪̤ b̤
addie	a d̪̤ d̪̤ i e
addis	a d̪̤ d̪̤ i s
ade	a d̪̤ e
adebayo	a d̪̤ e b̤ a j o
adeg	a d̪̤ e ɡ̤
adelaide	a d̪̤ e l a i d̪̤ e
adele	a d̪̤ e l e
adelia	a d̪̤ e l i a
adelobasileus	a d̪̤ e l o b̤ a s i l e u s
adem	a d̪̤ e m
ademir	a d̪̤ e m i r
aden	a d̪̤ e n
adenan	a d̪̤ e n a n
adenin	a d̪̤ e n i n
