mbote	m b o t e
losako	l o s a k o
bonjour	b o n ʒ u r
malamu	m a l a m u
naino	n a i n o
nakobanga	n a k o b a ŋ g a
eloko	e l o k o
moto	m o t o
bato	b a t o
mobali	m o b a l i
mwasi	m w a s i
mwana	m w a n a
nzoto	n z o t o
nzela	n z e l a
lola	l o l a
lokola	l o k o l a
kaka	k a k a
nde	n d e
soki	s o k i
pona	p o n a
epayi	e p a j i
awa	a w a
wapi	w a p i
ndambo	n d a m b o
mpenza	m p e n z a
lisusu	l i s u s u
mbala	m b a l a
mpe	m p e
te	t e
yo	j o
ngai	ŋ g a i
biso	b i s o
bino	b i n o
bango	b a ŋ g o
oyo	o j o
wana	w a n a
yango	j a ŋ g o
nini	n i n i
nani	n a n i
ntango	n t a ŋ g o
esika	e s i k a
kino	k i n o
mingi	m i ŋ g i
moke	m o k e
monene	m o n e n e
ndenge	n d e ŋ g e
mbeba	m b e b a
ngombe	ŋ g o m b e
nkeke	n k e k e
nkisi	n k i s i
mokili	m o k i l i
esengo	e s e ŋ g o
bolingo	b o l i ŋ g o
motema	m o t e m a
bomoi	b o m o i
lobiko	l o b i k o
likanisi	l i k a n i s i
likambo	l i k a m b o
nkanda	n k a n d a
lopango	l o p a ŋ g o
lopital	l o p i t a l
kelasi	k e l a s i
buku	b u k u
kalama	k a l a m a
bilanga	b i l a ŋ g a
mbisi	m b i s i
nyama	ɲ a m a
mbuma	m b u m a
fumbwa	f u m b w a
lituma	l i t u m a
madesu	m a d e s u
loso	l o s o
langa	l a ŋ g a
mbinzo	m b i n z o
mafuta	m a f u t a
mungwa	m u ŋ g w a
mayi	m a j i
mwamba	m w a m b a
etape	e t a p e
mobembo	m o b e m b o
bapaya	b a p a j a
mapasa	m a p a s a
yɛi	j ɛ i
ɛ	ɛ
ɔ	ɔ
kokɛla	k o k ɛ l a
mokɛli	m o k ɛ l i
ɛkɛ	ɛ k ɛ
sɛki	s ɛ k i
bɛlɛ	b ɛ l ɛ
pɛtɛ	p ɛ t ɛ
lɔlɔ	l ɔ l ɔ
kɔfɔ	k ɔ f ɔ
mɔtɔ	m ɔ t ɔ
nɔnɔ	n ɔ n ɔ
tɔkɔ	t ɔ k ɔ
bɔkɔ	b ɔ k ɔ
lɔkɔ	l ɔ k ɔ
sɔlɔ	s ɔ l ɔ
fɔlɔ	f ɔ l ɔ
