aaron	a a r o n
ab	a b
ababa	a b a b a
abagusii	a b a ɡ u s i i
abarahama	a b a r a h a m a
abbison	a b b i s o n
abbood	a b b o o d
abel	a b e l
abeno	a b e n o
abiyangu	a b i j a ŋɡ u
abiyedu	a b i j e d u
abo	a b o
abomey	a b o m e j
abraham	a b r a h a m
abramson	a b r a m s o n
abu	a b u
abuja	a b u d͡ʒ a
academy	a a d e m j
accra	a r a
accsmarket	a s m a r k e t
acha	a t͡ʃ a
achipo	a t͡ʃ i p o
achishanduka	a t͡ʃ i ʃ a nd u k a
achiumba	a t͡ʃ i u mb a
acid	a i d
actress	a t r e s s
adama	a d a m a
addis	a d d i s
adelaide	a d e l a i d e
adele	a d e l e
adhamu	a d̤ a m u
adhiriya	a d̤ i r i j a
adichie	a d i t͡ʃ i e
admoni	a d m o n i
adolf	a d o l f
aeneas	a e n e a s
afar	a f a r
afghanistan	a f ɡ h a n i s t a n
africa	a f r i a
african	a f r i a n
afrika	a f r i k a
afrikaans	a f r i k a a n s
aftonbladet	a f t o n b l a d e t
afughanistani	a f u ɡ h a n i s t a n i
afurika	a f u r i k a
agache	a ɡ a t͡ʃ e
agadir	a ɡ a d i r
agbari	a ɡ b a r i
agordat	a ɡ o r d a t
ah	a h
ahaetulla	a h a e t u l l a
ai	a i
aids	a i d s
ainslie	a i n s l i e
aira	a i r a
airbus	a i r b u s
aires	a i r e s
airport	a i r p o r t
ajagbe	a d͡ʒ a ɡ b e
ajeremia	a d͡ʒ e r e m i a
akabva	a k a b͡v a
akan	a k a n
akanhara	a k a n h a r a
akaroorwa	a k a r o o r w a
akasvinuka	a k a sʷ i n u k a
akebu	a k e b u
akhiti	a k h i t i
akiso	a k i s o
akitiki	a k i t i k i
akoose	a k o o s e
al	a l
alain	a l a i n
alaska	a l a s k a
albania	a l b a n i a
albert	a l b e r t
alenga	a l e ŋɡ a
alexandria	a l e a nd r i a
alfred	a l f r e d
alger	a l ɡ e r
algeria	a l ɡ e r i a
algiers	a l ɡ i e r s
alick	a l i k
alkali	a l k a l i
all	a l l
allah	a l l a h
allex	a l l e
alofi	a l o f i
alpha	a l p h a
altberg	a l t b e r ɡ
